Judul,Link,Tahun,Penulis,Publikasi
Kajian Simulasi Perbandingan Interpolasi Tetangga Terdekat dan 2-Tetangga Terdekat pada Sebaran Titik Spasial,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:4OULZ7Gr8RgC,2018,"RA Pratiwi, MN Aidi, A Djuraidah","Xplore: Journal of Statistics 2 (2), 58-65, 2018"
GPD threshold estimation using measure of surprise,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:VOx2b1Wkg3QC,2018,"A Manurung, AH Wigena, A Djuraidah","International Journal of Sciences: Basic and Applied Research 45 (3), 16-25, 2018"
Identification of Extreme Rainfall Pattern Using Extremogram in West Java,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:a0OBvERweLwC,2018,"A Rinaldi, A Djuraidah, AH Wigena, IW Mangku, D Gunawan","IOP Conference Series: Earth and Environmental Science 187 (1), 012064, 2018"
Statistical downscaling modeling through k-means clustering,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:OU6Ihb5iCvQC,2018,"R Pitri, AM Soleh, A Djuraidah","International Journal of Scientific Research in Science, Engineering and …, 2018"
KAJIAN SIMULASI PENDUGAAN SELANG KEPERCAYAAN BOOTSTRAP BAGI ARAH MEDIAN DATA SIRKULAR,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:HoB7MX3m0LUC,2018,"C Suhaeni, IM Sumertajaya, A Djuraidah","Indonesian Journal of Statistics and Its Applications 2 (1), 35-45, 2018"
Spatio-temporal Models Using R-INLA with Generalized Extreme Value Distribution in Hierarchical Bayes Regression,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:JQOojiI6XY0C,2018,RN Rachmawati,"Universitas Pertahanan RI, 2018"
Pendugaan produktivitas padi di tingkat kecamatan menggunakan Geoadditive Small Area Model,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:kRWSkSYxWN8C,2018,"M Ardiansyah, A Djuraidah, A Kurnia","Jurnal Penelitian Pertanian Tanaman Pangan 2 (2), 101-110, 2018"
Pemodelan Regresi Spasial Kekar: Studi Kasus Jumlah Kunjungan WIsatawan Mancanegara Asal Eurasia di Indonesia Tahun 2015,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:u_35RYKgDlwC,2018,"R Cahyati, A Djuraidah, S Rahardiantoro","Xplore: Journal of Statistics 2 (1), 61-70, 2018"
Pengantar Peluang,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:mvPsJ3kp5DgC,2018,"MN Aidi, A Djuraidah","PT Penerbit IPB Press, 2018"
Comparison method of spatial autoregressive probit estimation,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:bFI3QPDXJZMC,2018,"F Novkaniza, A Djuraidah","8th International Conference on Industrial Engineering and Operations …, 2018"
"Pendugaan Produktivitas Bagan Perahu dengan Regresi Gulud, LASSO dan Elastic-net",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:fPk4N6BV_jEC,2018,"R Fanny, A Djuraidah, A Alamudi","Xplore: Journal of Statistics 2 (2), 7-14, 2018"
Statistical downscaling with gamma distribution and elastic net regularization: Case study: Monthly rainfall 1981-2013 at indramayu,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:aqlVkmm33-oC,2017,"SM Permatasari, A Djuraidah, AM Soleh","The 2nd international conference on applied statistics (icas 2016), 121-129, 2017"
Spatial extreme models with copula to determine extreme rainfall zone,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:4DMP91E08xMC,2017,"A Rinaldi, A Djuraidah, AH Wigena, IW Mangku, D Gunawan","Applied Mathematical Sciences 11 (27), 1327-1336, 2017"
Geographically and temporally weighted regression (GTWR) for modeling economic growth using R,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:UxriW0iASnsC,2017,"M Sholihin, AM Soleh, A Djuraidah","Repositories-Dept. of Statistics, IPB University, 800-805, 2017"
Semi-parametric geographically weighted regression modelling using linear model of coregionalization,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:Wp0gIr-vW9MC,2017,"Z Mar’ah, A Djuraidah, AH Wigena","Int. J. Sci. Basic Appl. Res 34 (2), 178-186, 2017"
The application of modeling gamma-Pareto distributed data using GLM gamma in estimation of monthly rainfall with TRMM data,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:HDshCWvjkbEC,2017,"H Hanum, AH Wigena, A Djuraidah, IW Mangku","Sriwijaya Journal of Environment 2 (2), 40-45, 2017"
Quantile regression with functional principal component in statistical downscaling to predict extreme rainfall,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:k_IJM867U9cC,2017,"WJ Sari, AH Wigena, A Djuraidah","International Journal of Ecological Economics and Statistics 38 (1), 1-9, 2017"
Lasso and ridge quantile regression using cross validation to estimate extreme rainfall,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:dhFuZR0502QC,2016,"H Zaikarina, A Djuraidah, AH Wigena","Global Journal of Pure and Applied Mathematics 12 (3), 3305-3314, 2016"
Quantile regression with elastic-net in statistical downscaling to predict extreme rainfall,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:e5wmG9Sq2KIC,2016,"TBN Cahyani, AH Wigena, A Djuraidah","Global Journal of Pure and Applied Mathematics 12 (4), 3517-3524, 2016"
Statistical downscaling with generalized Pareto distribution (Study case: Extreme rainfall estimation),https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:WF5omc3nYNoC,2016,"SL Kinanti, AH Wigena, A Djuraidah","AIP Conference Proceedings 1707 (1), 2016"
Classification Analysis to Predict a Closing Price Condition of the Stock of UNVR using the Gaussian Copula Model,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:ULOm3_A8WrAC,2016,"A Ikhsan, B Sartono, A Djuraidah","International Journal of Engineering and Management Research (IJEMR) 6 (5 …, 2016"
Linear regression with percentile lasso and ridge to predict rainfall,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:qUcmZB5y_30C,2016,"M Irvan, AH Wigena, A Djuraidah","Proceeding of ICMSE 3 (1), M-56-M-62, 2016"
Estimation of percentage on malnutrition occurrences in East Java using geographically weighted regression model,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:UebtZRa9Y70C,2016,"IM Hutabarat, A Saefuddin, H Hardinsyah, A Djuraidah","Makara Journal of Health Research 19 (3), 2, 2016"
Vector generalized additive models for extreme rainfall data analysis (study case rainfall data in Indramayu),https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:RGFaLdJalmkC,2016,"EPN Utami, AH Wigena, A Djuraidah","AIP Conference Proceedings 1707 (1), 2016"
Statistical downscaling modeling with quantile regression using lasso to estimate extreme rainfall,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:hFOr9nPyWt4C,2016,"D Santri, AH Wigena, A Djuraidah","AIP Conference Proceedings 1707 (1), 2016"
Modeling gamma-pareto distributed data using GLM gamma,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:mB3voiENLucC,2016,"H Hanum, AH Wigena, A Djuraidah, IW Mangku","Global Journal of Pure and Applied Mathematics 12 (4), 3569-3575, 2016"
Gamma distribution linear modeling with statistical downscaling to predict extreme monthly rainfall in Indramayu,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:ufrVoPGSRksC,2016,"AM Soleh, AH Wigena, A Djuraidah, A Saefuddin","2016 12th International conference on mathematics, statistics, and their …, 2016"
Developing generalized linear model of Gamma-Pareto Distribution,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:BqipwSGYUEgC,2016,"H Hanum, AH Wigena, A Djuraidah, IW Mangku","Far East Math Sci J, 2016"
Return level value modeling of rainfall and GCM for extreme rainfall prediction in indramayu regency,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:9yKSN-GCB0IC,2016,"TF Saumi, AH Wigena, A Djuraidah","Global Journal of Pure Applied Mathematics 12 (1), 1151-1159, 2016"
Gamma response regression with percentile lasso and ridge to estimate extreme rainfall,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:JV2RwH3_ST0C,2016,"I Ali, A Djuraidah, AM Soleh","Proceeding of ICMSE 3 (1), M-44-M-49, 2016"
GEOGRAPHICALLY WEIGHTED REGRESSION (GWR) INCLUDED THE DATA CONTAINING MULTICOLLINEARITY,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:RHpTSmoSYBkC,2015,"I Yulita, A Djuraidah, AH Wigena","Forum Statistika dan Komputasi 20 (2), 2015"
Spatial Autoregressive Quantile Regression Modelling for Gross Domestic Regional Product Data (Case: 113 Districts/Cities in Java in 2010),https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:uc_IGeMz5qoC,2015,"A Febriyanti, A Djuraidah, AH Wigena","Global Journal of Pure and Applied Mathematics 11 (4), 2255-2264, 2015"
Statistical downscaling to predict monthly rainfall using linear regression with L1 regularization (LASSO),https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:Y0pCki6q_DkC,2015,"AM Soleh, AH Wigena, A Djuraidah, A Saefuddin","Applied Mathematical Sciences 9 (108), 5361-5369, 2015"
Quantile regression with partial least squares in statistical downscaling for estimation of extreme rainfall,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:d1gkVwhDpl0C,2015,"ER Matulessy, AH Wigena, A Djuraidah","Applied Mathematical Sciences 9 (90), 4489-4498, 2015"
PENGEMBANGAN METODE KOMPUTASI STATISTIK PADA MODEL LINIER NILAI EKSTRIM DENGAN REGULARISASI L1 DAN L2,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:IWHjjKOFINEC,2015,"AH Wigena, A Djuraidah, AM Soleh","Prosiding Seminar Hasil-Hasil PPM IPB 1, 15-25, 2015"
Pemodelan Statistical Downscaling untuk Menduga Curah Hujan Bulanan Menggunakan Model Linier Terampat Sebaran Gamma,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:_FxGoFyzp5QC,2015,"AM Soleh, AH Wigena, A Djuraidah, A Saefuddin","Jurnal Informatika Pertanian 24 (2), 215â, 2015"
